,Overall rank,Country or region,Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption
104,105,South Africa,4.724,0.94,1.41,0.33,0.516,0.103,0.056
105,106,Iran,4.707,1.059,0.771,0.691,0.459,0.282,0.129
106,107,Ivory Coast,4.671,0.541,0.872,0.08,0.467,0.146,0.103
107,108,Ghana,4.657,0.592,0.896,0.337,0.499,0.212,0.029
108,109,Senegal,4.631,0.429,1.117,0.433,0.406,0.138,0.082
109,110,Laos,4.623,0.72,1.034,0.441,0.626,0.23,0.174
110,111,Tunisia,4.592,0.9,0.906,0.69,0.271,0.04,0.063
111,112,Albania,4.586,0.916,0.817,0.79,0.419,0.149,0.032
112,113,Sierra Leone,4.571,0.256,0.813,0.0,0.355,0.238,0.053
113,114,Congo (Brazzaville),4.559,0.682,0.811,0.343,0.514,0.091,0.077
114,115,Bangladesh,4.5,0.532,0.85,0.579,0.58,0.153,0.144
115,116,Sri Lanka,4.471,0.918,1.314,0.672,0.585,0.307,0.05
116,117,Iraq,4.456,1.01,0.971,0.536,0.304,0.148,0.095
117,118,Mali,4.447,0.37,1.233,0.152,0.367,0.139,0.056
118,119,Namibia,4.441,0.874,1.281,0.365,0.519,0.051,0.064
119,120,Cambodia,4.433,0.549,1.088,0.457,0.696,0.256,0.065
120,121,Burkina Faso,4.424,0.314,1.097,0.254,0.312,0.175,0.128
121,122,Egypt,4.419,0.885,1.025,0.553,0.312,0.092,0.107
122,123,Mozambique,4.417,0.198,0.902,0.173,0.531,0.206,0.158
123,124,Kenya,4.41,0.493,1.048,0.454,0.504,0.352,0.055
124,125,Zambia,4.377,0.562,1.047,0.295,0.503,0.221,0.082
125,126,Mauritania,4.356,0.557,1.245,0.292,0.129,0.134,0.093
126,127,Ethiopia,4.35,0.308,0.95,0.391,0.452,0.22,0.146
127,128,Georgia,4.34,0.853,0.592,0.643,0.375,0.038,0.215
128,129,Armenia,4.321,0.816,0.99,0.666,0.26,0.077,0.028
129,130,Myanmar,4.308,0.682,1.174,0.429,0.58,0.598,0.178
130,131,Chad,4.301,0.358,0.907,0.053,0.189,0.181,0.06
131,132,Congo (Kinshasa),4.245,0.069,1.136,0.204,0.312,0.197,0.052
132,133,India,4.19,0.721,0.747,0.485,0.539,0.172,0.093
133,134,Niger,4.166,0.131,0.867,0.221,0.39,0.175,0.099
134,135,Uganda,4.161,0.322,1.09,0.237,0.45,0.259,0.061
135,136,Benin,4.141,0.378,0.372,0.24,0.44,0.163,0.067
136,137,Sudan,4.139,0.605,1.24,0.312,0.016,0.134,0.082
137,138,Ukraine,4.103,0.793,1.413,0.609,0.163,0.187,0.011
138,139,Togo,3.999,0.259,0.474,0.253,0.434,0.158,0.101
139,140,Guinea,3.964,0.344,0.792,0.211,0.394,0.185,0.094
140,141,Lesotho,3.808,0.472,1.215,0.079,0.423,0.116,0.112
141,142,Angola,3.795,0.73,1.125,0.269,0.0,0.079,0.061
142,143,Madagascar,3.774,0.262,0.908,0.402,0.221,0.155,0.049
143,144,Zimbabwe,3.692,0.357,1.094,0.248,0.406,0.132,0.099
144,145,Afghanistan,3.632,0.332,0.537,0.255,0.085,0.191,0.036
145,146,Botswana,3.59,1.017,1.174,0.417,0.557,0.042,0.092
146,147,Malawi,3.587,0.186,0.541,0.306,0.531,0.21,0.08
147,148,Haiti,3.582,0.315,0.714,0.289,0.025,0.392,0.104
148,149,Liberia,3.495,0.076,0.858,0.267,0.419,0.206,0.03
149,150,Syria,3.462,0.689,0.382,0.539,0.088,0.376,0.144
150,151,Rwanda,3.408,0.332,0.896,0.4,0.636,0.2,0.444
151,152,Yemen,3.355,0.442,1.073,0.343,0.244,0.083,0.064
152,153,Tanzania,3.303,0.455,0.991,0.381,0.481,0.27,0.097
153,154,South Sudan,3.254,0.337,0.608,0.177,0.112,0.224,0.106
154,155,Central African Republic,3.083,0.024,0.0,0.01,0.305,0.218,0.038
155,156,Burundi,2.905,0.091,0.627,0.145,0.065,0.149,0.076
