,Overall rank,Country or region,Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption
52,53,Latvia,5.94,1.187,1.465,0.812,0.264,0.075,0.064
53,54,South Korea,5.895,1.301,1.219,1.036,0.159,0.175,0.056
54,55,Estonia,5.893,1.237,1.528,0.874,0.495,0.103,0.161
55,56,Jamaica,5.89,0.831,1.478,0.831,0.49,0.107,0.028
56,57,Mauritius,5.888,1.12,1.402,0.798,0.498,0.215,0.06
57,58,Japan,5.886,1.327,1.419,1.088,0.445,0.069,0.14
58,59,Honduras,5.86,0.642,1.236,0.828,0.507,0.246,0.078
59,60,Kazakhstan,5.809,1.173,1.508,0.729,0.41,0.146,0.096
60,61,Bolivia,5.779,0.776,1.209,0.706,0.511,0.137,0.064
61,62,Hungary,5.758,1.201,1.41,0.828,0.199,0.081,0.02
62,63,Paraguay,5.743,0.855,1.475,0.777,0.514,0.184,0.08
63,64,Northern Cyprus,5.718,1.263,1.252,1.042,0.417,0.191,0.162
64,65,Peru,5.697,0.96,1.274,0.854,0.455,0.083,0.027
65,66,Portugal,5.693,1.221,1.431,0.999,0.508,0.047,0.025
66,67,Pakistan,5.653,0.677,0.886,0.535,0.313,0.22,0.098
67,68,Russia,5.648,1.183,1.452,0.726,0.334,0.082,0.031
68,69,Philippines,5.631,0.807,1.293,0.657,0.558,0.117,0.107
69,70,Serbia,5.603,1.004,1.383,0.854,0.282,0.137,0.039
70,71,Moldova,5.529,0.685,1.328,0.739,0.245,0.181,0.0
71,72,Libya,5.525,1.044,1.303,0.673,0.416,0.133,0.152
72,73,Montenegro,5.523,1.051,1.361,0.871,0.197,0.142,0.08
73,74,Tajikistan,5.467,0.493,1.098,0.718,0.389,0.23,0.144
74,75,Croatia,5.432,1.155,1.266,0.914,0.296,0.119,0.022
75,76,Hong Kong,5.43,1.438,1.277,1.122,0.44,0.258,0.287
76,77,Dominican Republic,5.425,1.015,1.401,0.779,0.497,0.113,0.101
77,78,Bosnia and Herzegovina,5.386,0.945,1.212,0.845,0.212,0.263,0.006
78,79,Turkey,5.373,1.183,1.36,0.808,0.195,0.083,0.106
79,80,Malaysia,5.339,1.221,1.171,0.828,0.508,0.26,0.024
80,81,Belarus,5.323,1.067,1.465,0.789,0.235,0.094,0.142
81,82,Greece,5.287,1.181,1.156,0.999,0.067,0.0,0.034
82,83,Mongolia,5.285,0.948,1.531,0.667,0.317,0.235,0.038
83,84,North Macedonia,5.274,0.983,1.294,0.838,0.345,0.185,0.034
84,85,Nigeria,5.265,0.696,1.111,0.245,0.426,0.215,0.041
85,86,Kyrgyzstan,5.261,0.551,1.438,0.723,0.508,0.3,0.023
86,87,Turkmenistan,5.247,1.052,1.538,0.657,0.394,0.244,0.028
87,88,Algeria,5.211,1.002,1.16,0.785,0.086,0.073,0.114
88,89,Morocco,5.208,0.801,0.782,0.782,0.418,0.036,0.076
89,90,Azerbaijan,5.208,1.043,1.147,0.769,0.351,0.035,0.182
90,91,Lebanon,5.197,0.987,1.224,0.815,0.216,0.166,0.027
91,92,Indonesia,5.192,0.931,1.203,0.66,0.491,0.498,0.028
92,93,China,5.191,1.029,1.125,0.893,0.521,0.058,0.1
93,94,Vietnam,5.175,0.741,1.346,0.851,0.543,0.147,0.073
94,95,Bhutan,5.082,0.813,1.321,0.604,0.457,0.37,0.167
95,96,Cameroon,5.044,0.549,0.91,0.331,0.381,0.187,0.037
96,97,Bulgaria,5.011,1.092,1.513,0.815,0.311,0.081,0.004
97,98,Ghana,4.996,0.611,0.868,0.486,0.381,0.245,0.04
98,99,Ivory Coast,4.944,0.569,0.808,0.232,0.352,0.154,0.09
99,100,Nepal,4.913,0.446,1.226,0.677,0.439,0.285,0.089
100,101,Jordan,4.906,0.837,1.225,0.815,0.383,0.11,0.13
101,102,Benin,4.883,0.393,0.437,0.397,0.349,0.175,0.082
102,103,Congo (Brazzaville),4.812,0.673,0.799,0.508,0.372,0.105,0.093
103,104,Gabon,4.799,1.057,1.183,0.571,0.295,0.043,0.055
