,Country,Sex,2016,2015,2010,2000
366,Pakistan, Both sexes,3.1,3.1,3.3,4.0
367,Pakistan, Male,3.0,3.1,3.2,3.6
368,Pakistan, Female,3.1,3.2,3.5,4.4
369,Panama, Both sexes,4.4,4.0,5.3,6.6
370,Panama, Male,7.6,6.7,9.1,11.7
371,Panama, Female,1.2,1.4,1.5,1.6
372,Papua New Guinea, Both sexes,7.0,7.0,6.4,8.4
373,Papua New Guinea, Male,10.2,10.1,9.1,11.8
374,Papua New Guinea, Female,3.8,3.8,3.7,5.0
375,Paraguay, Both sexes,9.3,9.6,9.3,11.0
376,Paraguay, Male,12.3,12.9,12.6,15.6
377,Paraguay, Female,6.2,6.3,6.0,6.4
378,Peru, Both sexes,5.1,5.1,4.9,6.0
379,Peru, Male,7.6,7.6,7.5,8.8
380,Peru, Female,2.7,2.7,2.5,3.3
381,Philippines, Both sexes,3.7,3.8,4.0,3.1
382,Philippines, Male,5.2,5.4,5.7,4.5
383,Philippines, Female,2.3,2.3,2.3,1.8
384,Poland, Both sexes,13.4,13.1,15.5,15.2
385,Poland, Male,23.9,23.5,28.0,26.6
386,Poland, Female,3.4,3.3,3.7,4.7
387,Portugal, Both sexes,8.6,8.6,8.8,5.3
388,Portugal, Male,14.3,14.3,14.4,9.2
389,Portugal, Female,3.8,3.8,4.2,2.1
390,Qatar, Both sexes,5.8,5.7,5.1,3.8
391,Qatar, Male,7.3,7.1,6.5,4.9
392,Qatar, Female,1.1,1.1,1.1,1.4
393,Republic of Korea, Both sexes,20.2,21.4,28.1,14.2
394,Republic of Korea, Male,29.6,31.4,39.3,20.8
395,Republic of Korea, Female,11.6,12.5,18.7,8.5
396,Republic of Moldova, Both sexes,13.4,14.0,18.0,15.6
397,Republic of Moldova, Male,24.1,24.9,32.5,29.2
398,Republic of Moldova, Female,3.8,4.5,5.1,4.1
399,Republic of North Macedonia, Both sexes,6.2,6.2,4.9,7.1
400,Republic of North Macedonia, Male,9.7,9.7,7.2,10.3
401,Republic of North Macedonia, Female,3.0,3.0,2.6,4.1
402,Romania, Both sexes,8.0,9.1,11.5,11.7
403,Romania, Male,13.9,16.2,19.8,19.9
404,Romania, Female,2.4,2.5,3.7,3.8
405,Russian Federation, Both sexes,26.5,27.5,34.5,47.5
406,Russian Federation, Male,48.3,49.9,62.3,85.8
407,Russian Federation, Female,7.5,7.9,10.2,13.7
408,Rwanda, Both sexes,11.0,11.2,12.5,24.6
409,Rwanda, Male,16.9,17.2,18.7,30.5
410,Rwanda, Female,6.0,6.2,7.2,19.4
411,Saint Lucia, Both sexes,7.3,7.3,6.1,7.4
412,Saint Lucia, Male,12.7,12.9,11.0,13.0
413,Saint Lucia, Female,2.1,2.1,1.6,2.4
414,Saint Vincent and the Grenadines, Both sexes,2.4,2.7,3.2,7.2
415,Saint Vincent and the Grenadines, Male,3.9,4.3,5.7,13.6
416,Saint Vincent and the Grenadines, Female,0.9,1.1,0.6,0.9
417,Samoa, Both sexes,5.4,5.5,6.4,10.7
418,Samoa, Male,8.7,8.9,10.3,16.7
419,Samoa, Female,2.2,2.2,2.6,4.6
420,Sao Tome and Principe, Both sexes,3.1,3.1,2.8,2.7
421,Sao Tome and Principe, Male,4.2,4.2,3.9,3.8
422,Sao Tome and Principe, Female,2.1,2.1,1.9,1.7
423,Saudi Arabia, Both sexes,3.4,3.4,3.8,3.4
424,Saudi Arabia, Male,4.6,4.6,5.4,5.0
425,Saudi Arabia, Female,1.7,1.7,1.7,1.4
426,Senegal, Both sexes,11.8,12.1,13.1,14.0
427,Senegal, Male,20.3,20.8,21.9,22.6
428,Senegal, Female,5.2,5.4,6.2,6.8
429,Serbia, Both sexes,10.9,10.6,11.3,16.8
430,Serbia, Male,17.3,16.8,18.3,25.8
431,Serbia, Female,5.2,5.2,5.2,9.1
