,Country name,Regional indicator,Ladder score,Standard error of ladder score,upperwhisker,lowerwhisker,Logged GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Ladder score in Dystopia,Explained by: Log GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption,Dystopia + residual
49,Mauritius,Sub-Saharan Africa,6.049,0.059,6.165,5.933,10.008,0.905,66.701,0.867,-0.054,0.789,2.43,1.178,0.996,0.574,0.59,0.153,0.096,2.462
50,Latvia,Central and Eastern Europe,6.032,0.036,6.103,5.961,10.315,0.927,67.1,0.715,-0.162,0.8,2.43,1.285,1.047,0.587,0.405,0.082,0.089,2.536
51,Colombia,Latin America and Caribbean,6.012,0.061,6.132,5.892,9.557,0.847,68.001,0.837,-0.135,0.841,2.43,1.021,0.866,0.615,0.554,0.1,0.063,2.794
52,Hungary,Central and Eastern Europe,5.992,0.047,6.085,5.899,10.358,0.943,68.0,0.755,-0.186,0.876,2.43,1.301,1.083,0.615,0.454,0.067,0.04,2.432
53,Thailand,Southeast Asia,5.985,0.047,6.077,5.893,9.805,0.888,67.401,0.884,0.287,0.895,2.43,1.107,0.957,0.596,0.611,0.375,0.028,2.309
54,Nicaragua,Latin America and Caribbean,5.972,0.083,6.134,5.81,8.62,0.864,67.657,0.836,0.02,0.664,2.43,0.693,0.904,0.604,0.553,0.201,0.176,2.841
55,Japan,East Asia,5.94,0.04,6.02,5.861,10.611,0.884,75.1,0.796,-0.258,0.638,2.43,1.389,0.949,0.838,0.504,0.02,0.192,2.048
56,Argentina,Latin America and Caribbean,5.929,0.056,6.04,5.819,9.962,0.898,69.0,0.828,-0.182,0.834,2.43,1.162,0.98,0.646,0.544,0.069,0.067,2.461
57,Portugal,Western Europe,5.929,0.055,6.037,5.821,10.421,0.879,72.6,0.892,-0.244,0.887,2.43,1.323,0.939,0.76,0.621,0.029,0.033,2.225
58,Honduras,Latin America and Caribbean,5.919,0.082,6.081,5.758,8.648,0.812,67.3,0.857,0.081,0.809,2.43,0.703,0.787,0.593,0.578,0.241,0.083,2.934
59,Croatia,Central and Eastern Europe,5.882,0.048,5.975,5.788,10.217,0.924,70.799,0.754,-0.118,0.939,2.43,1.251,1.039,0.703,0.453,0.111,0.0,2.325
60,Philippines,Southeast Asia,5.88,0.052,5.982,5.778,9.076,0.83,62.0,0.917,-0.097,0.742,2.43,0.853,0.828,0.426,0.651,0.125,0.126,2.872
61,South Korea,East Asia,5.845,0.042,5.928,5.763,10.651,0.799,73.9,0.672,-0.083,0.727,2.43,1.403,0.758,0.801,0.353,0.134,0.135,2.262
62,Peru,Latin America and Caribbean,5.84,0.075,5.988,5.692,9.458,0.832,68.25,0.822,-0.154,0.891,2.43,0.986,0.833,0.623,0.536,0.087,0.031,2.744
63,Bosnia and Herzegovina,Central and Eastern Europe,5.813,0.05,5.911,5.715,9.59,0.87,68.098,0.706,0.113,0.931,2.43,1.032,0.919,0.618,0.395,0.261,0.005,2.583
64,Moldova,Commonwealth of Independent States,5.766,0.046,5.856,5.677,9.454,0.857,65.699,0.822,-0.079,0.918,2.43,0.985,0.888,0.542,0.536,0.137,0.013,2.665
65,Ecuador,Latin America and Caribbean,5.764,0.057,5.875,5.653,9.313,0.821,68.8,0.842,-0.124,0.843,2.43,0.935,0.806,0.64,0.56,0.107,0.062,2.653
66,Kyrgyzstan,Commonwealth of Independent States,5.744,0.046,5.834,5.653,8.538,0.893,64.401,0.935,0.119,0.908,2.43,0.665,0.971,0.501,0.673,0.266,0.02,2.648
67,Greece,Western Europe,5.723,0.046,5.813,5.632,10.279,0.823,72.6,0.582,-0.288,0.823,2.43,1.273,0.811,0.76,0.243,0.0,0.074,2.561
68,Bolivia,Latin America and Caribbean,5.716,0.053,5.819,5.613,9.046,0.81,63.901,0.875,-0.077,0.839,2.43,0.842,0.782,0.486,0.6,0.138,0.064,2.805
69,Mongolia,East Asia,5.677,0.042,5.76,5.595,9.4,0.935,62.5,0.708,0.116,0.856,2.43,0.966,1.065,0.442,0.397,0.263,0.053,2.492
70,Paraguay,Latin America and Caribbean,5.653,0.092,5.832,5.473,9.448,0.893,65.9,0.876,0.028,0.882,2.43,0.983,0.97,0.549,0.602,0.206,0.037,2.306
71,Montenegro,Central and Eastern Europe,5.581,0.054,5.686,5.475,9.94,0.858,68.699,0.708,-0.034,0.812,2.43,1.155,0.891,0.637,0.397,0.166,0.081,2.254
72,Dominican Republic,Latin America and Caribbean,5.545,0.071,5.685,5.405,9.802,0.853,66.102,0.86,-0.133,0.714,2.43,1.106,0.879,0.555,0.581,0.101,0.144,2.178
73,North Cyprus,Western Europe,5.536,0.051,5.636,5.435,10.576,0.82,73.898,0.795,0.012,0.626,2.43,1.377,0.806,0.801,0.503,0.196,0.2,1.653
74,Belarus,Commonwealth of Independent States,5.534,0.047,5.625,5.442,9.853,0.91,66.253,0.65,-0.18,0.627,2.43,1.124,1.007,0.56,0.326,0.07,0.199,2.247
75,Russia,Commonwealth of Independent States,5.477,0.033,5.541,5.413,10.189,0.903,64.703,0.718,-0.111,0.845,2.43,1.241,0.992,0.511,0.409,0.115,0.06,2.148
76,Hong Kong S.A.R. of China,East Asia,5.477,0.049,5.573,5.38,11.0,0.836,76.82,0.717,0.067,0.403,2.43,1.525,0.841,0.893,0.408,0.232,0.342,1.236
77,Tajikistan,Commonwealth of Independent States,5.466,0.034,5.532,5.4,8.091,0.86,64.281,0.832,-0.056,0.553,2.43,0.508,0.895,0.498,0.548,0.152,0.247,2.619
78,Vietnam,Southeast Asia,5.411,0.039,5.488,5.334,8.973,0.85,68.034,0.94,-0.098,0.796,2.43,0.817,0.873,0.616,0.679,0.124,0.091,2.211
79,Libya,Middle East and North Africa,5.41,0.076,5.558,5.262,9.622,0.827,62.3,0.771,-0.087,0.667,2.43,1.044,0.821,0.435,0.474,0.131,0.174,2.331
80,Malaysia,Southeast Asia,5.384,0.049,5.48,5.289,10.238,0.817,67.102,0.895,0.125,0.839,2.43,1.259,0.797,0.587,0.624,0.27,0.064,1.784
81,Indonesia,Southeast Asia,5.345,0.056,5.454,5.235,9.365,0.811,62.236,0.873,0.542,0.867,2.43,0.954,0.786,0.433,0.598,0.541,0.046,1.987
82,Congo (Brazzaville),Sub-Saharan Africa,5.342,0.097,5.533,5.151,8.117,0.636,58.221,0.695,-0.068,0.745,2.43,0.518,0.392,0.307,0.381,0.144,0.124,3.476
83,China,East Asia,5.339,0.029,5.397,5.281,9.673,0.811,69.593,0.904,-0.146,0.755,2.43,1.061,0.785,0.665,0.636,0.093,0.117,1.982
84,Ivory Coast,Sub-Saharan Africa,5.306,0.078,5.46,5.152,8.551,0.644,50.114,0.741,-0.016,0.794,2.43,0.669,0.409,0.052,0.438,0.177,0.092,3.469
85,Armenia,Commonwealth of Independent States,5.283,0.058,5.397,5.168,9.487,0.799,67.055,0.825,-0.168,0.629,2.43,0.996,0.758,0.585,0.54,0.079,0.198,2.127
86,Nepal,South Asia,5.269,0.07,5.406,5.132,8.12,0.774,64.233,0.782,0.152,0.727,2.43,0.519,0.702,0.496,0.488,0.287,0.135,2.642
87,Bulgaria,Central and Eastern Europe,5.266,0.054,5.371,5.16,10.016,0.931,67.0,0.788,-0.096,0.932,2.43,1.181,1.055,0.583,0.494,0.125,0.005,1.823
88,Maldives,South Asia,5.198,0.072,5.339,5.057,9.826,0.913,70.6,0.854,0.024,0.825,2.43,1.115,1.015,0.697,0.575,0.204,0.073,1.52
89,Azerbaijan,Commonwealth of Independent States,5.171,0.04,5.25,5.091,9.569,0.836,65.656,0.814,-0.223,0.506,2.43,1.025,0.841,0.541,0.526,0.043,0.276,1.919
