,Country,Year,Mental _hospitals,health_units,outpatient _facilities,day _treatment,residential_facilities
74,Panama,2016,0.025,0.277,2.696,0.025,
75,Paraguay,2016,0.03,0.03,1.416,0.015,0.09
76,Peru,2016,0.01,0.057,0.166,0.016,0.022
77,Philippines,2016,0.001,0.083,0.211,0.002,0.058
78,Poland,2016,0.125,0.261,3.207,0.716,
79,Portugal,2016,0.029,0.288,0.701,0.518,0.269
80,Qatar,2016,0.038,0.038,0.344,0.115,0.076
81,Republic of Korea,2016,0.358,0.389,1.789,0.134,0.427
82,Romania,2016,0.171,0.392,0.911,0.277,
83,Rwanda,2016,0.017,0.396,0.404,,
84,Saint Lucia,2016,0.564,,19.751,,
85,Samoa,2016,0.516,0.516,12.387,0.516,4.645
86,Sao Tome and Principe,2016,,0.511,0.511,,
87,Saudi Arabia,2016,0.079,0.013,0.507,,0.013
88,Senegal,2016,0.007,0.027,0.04,,0.027
89,Seychelles,2016,1.067,,2.134,1.067,1.067
90,Singapore,2016,0.018,0.072,0.217,0.163,0.054
91,Slovenia,2016,0.241,0.048,5.832,2.121,3.518
92,South Africa,2016,0.116,0.072,0.11,,
93,South Sudan,2016,,0.008,0.008,,
94,Syrian Arab Republic,2016,0.016,0.016,2.263,,
95,Tajikistan,2016,0.035,0.129,0.164,,
96,Thailand,2016,0.028,0.151,1.302,0.007,
97,Timor-Leste,2016,,0.081,6.527,,0.161
98,Togo,2016,0.013,0.108,0.04,,0.04
99,Tonga,2016,0.0,0.94,0.94,,
100,Turkey,2016,0.011,0.455,0.19,,0.174
101,Uganda,2016,0.002,0.032,0.942,,
102,Ukraine,2016,0.139,0.052,0.049,1.576,
103,United Arab Emirates,2016,0.011,0.055,0.524,,0.033
104,United States of America,2016,0.189,0.349,0.373,,
105,Uruguay,2016,0.321,0.699,,0.612,
106,Uzbekistan,2016,0.081,0.013,0.084,0.052,
107,Vanuatu,2016,,0.756,2.645,,
108,Viet Nam,2016,0.043,0.017,0.009,,
109,Yemen,2016,0.033,0.026,0.063,,
110,Zambia,2016,0.062,0.062,0.205,,0.019
111,Zimbabwe,2016,0.025,0.025,0.057,0.006,0.051
