,Overall rank,Country or region,Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption
52,53,Latvia,5.933,1.148,1.454,0.671,0.363,0.092,0.066
53,54,Japan,5.915,1.294,1.462,0.988,0.553,0.079,0.15
54,55,Mauritius,5.891,1.09,1.387,0.684,0.584,0.245,0.05
55,56,Jamaica,5.89,0.819,1.493,0.693,0.575,0.096,0.031
56,57,South Korea,5.875,1.266,1.204,0.955,0.244,0.175,0.051
57,58,Northern Cyprus,5.835,1.229,1.211,0.909,0.495,0.179,0.154
58,59,Russia,5.81,1.151,1.479,0.599,0.399,0.065,0.025
59,60,Kazakhstan,5.79,1.143,1.516,0.631,0.454,0.148,0.121
60,61,Cyprus,5.762,1.229,1.191,0.909,0.423,0.202,0.035
61,62,Bolivia,5.752,0.751,1.223,0.508,0.606,0.141,0.054
62,63,Estonia,5.739,1.2,1.532,0.737,0.553,0.086,0.174
63,64,Paraguay,5.681,0.835,1.522,0.615,0.541,0.162,0.074
64,65,Peru,5.663,0.934,1.249,0.674,0.53,0.092,0.034
65,66,Kosovo,5.662,0.855,1.23,0.578,0.448,0.274,0.023
66,67,Moldova,5.64,0.657,1.301,0.62,0.232,0.171,0.0
67,68,Turkmenistan,5.636,1.016,1.533,0.517,0.417,0.199,0.037
68,69,Hungary,5.62,1.171,1.401,0.732,0.259,0.061,0.022
69,70,Libya,5.566,0.985,1.35,0.553,0.496,0.116,0.148
70,71,Philippines,5.524,0.775,1.312,0.513,0.643,0.12,0.105
71,72,Honduras,5.504,0.62,1.205,0.622,0.459,0.197,0.074
72,73,Belarus,5.483,1.039,1.498,0.7,0.307,0.101,0.154
73,74,Turkey,5.483,1.148,1.38,0.686,0.324,0.106,0.109
74,75,Pakistan,5.472,0.652,0.81,0.424,0.334,0.216,0.113
75,76,Hong Kong,5.43,1.405,1.29,1.03,0.524,0.246,0.291
76,77,Portugal,5.41,1.188,1.429,0.884,0.562,0.055,0.017
77,78,Serbia,5.398,0.975,1.369,0.685,0.288,0.134,0.043
78,79,Greece,5.358,1.154,1.202,0.879,0.131,0.0,0.044
79,80,Lebanon,5.358,0.965,1.179,0.785,0.503,0.214,0.136
80,81,Montenegro,5.347,1.017,1.279,0.729,0.259,0.111,0.081
81,82,Croatia,5.321,1.115,1.161,0.737,0.38,0.12,0.039
82,83,Dominican Republic,5.302,0.982,1.441,0.614,0.578,0.12,0.106
83,84,Algeria,5.295,0.979,1.154,0.687,0.077,0.055,0.135
84,85,Morocco,5.254,0.779,0.797,0.669,0.46,0.026,0.074
85,86,China,5.246,0.989,1.142,0.799,0.597,0.029,0.103
86,87,Azerbaijan,5.201,1.024,1.161,0.603,0.43,0.031,0.176
87,88,Tajikistan,5.199,0.474,1.166,0.598,0.292,0.187,0.034
88,89,Macedonia,5.185,0.959,1.239,0.691,0.394,0.173,0.052
89,90,Jordan,5.161,0.822,1.265,0.645,0.468,0.13,0.134
90,91,Nigeria,5.155,0.689,1.172,0.048,0.462,0.201,0.032
91,92,Kyrgyzstan,5.131,0.53,1.416,0.594,0.54,0.281,0.035
92,93,Bosnia and Herzegovina,5.129,0.915,1.078,0.758,0.28,0.216,0.0
93,94,Mongolia,5.125,0.914,1.517,0.575,0.395,0.253,0.032
94,95,Vietnam,5.103,0.715,1.365,0.702,0.618,0.177,0.079
95,96,Indonesia,5.093,0.899,1.215,0.522,0.538,0.484,0.018
96,97,Bhutan,5.082,0.796,1.335,0.527,0.541,0.364,0.171
97,98,Somalia,4.982,0.0,0.712,0.115,0.674,0.238,0.282
98,99,Cameroon,4.975,0.535,0.891,0.182,0.454,0.183,0.043
99,100,Bulgaria,4.933,1.054,1.515,0.712,0.359,0.064,0.009
100,101,Nepal,4.88,0.425,1.228,0.539,0.526,0.302,0.078
101,102,Venezuela,4.806,0.996,1.469,0.657,0.133,0.056,0.052
102,103,Gabon,4.758,1.036,1.164,0.404,0.356,0.032,0.052
103,104,Palestinian Territories,4.743,0.642,1.217,0.602,0.266,0.086,0.076
