,Country,Sex, 80_above, 70to79, 60to69 , 50to59 , 40to49, 30to39, 20to29, 10to19
183,Gambia, Both sexes,78.9,52.5,28.1,15.3,6.4,5.8,7.7,2.5
184,Gambia, Male,110.0,63.0,32.9,18.5,8.8,8.8,10.5,2.7
185,Gambia, Female,50.1,41.6,22.9,12.4,4.2,3.1,5.0,2.3
186,Georgia, Both sexes,20.9,15.3,12.6,12.5,9.7,7.3,6.0,2.8
187,Georgia, Male,42.6,29.4,23.2,22.8,17.6,13.7,10.7,4.4
188,Georgia, Female,10.5,6.8,4.6,3.6,2.2,1.2,1.1,1.0
189,Germany, Both sexes,39.2,23.2,16.1,17.3,13.3,10.4,7.6,2.6
190,Germany, Male,68.9,35.8,23.2,25.0,19.3,15.9,11.5,3.3
191,Germany, Female,22.2,12.5,9.4,9.4,7.1,4.7,3.4,1.8
192,Ghana, Both sexes,70.7,46.9,23.6,12.5,7.5,6.1,5.3,1.9
193,Ghana, Male,165.0,88.5,42.7,22.4,13.2,9.9,7.6,2.3
194,Ghana, Female,15.7,12.0,6.6,3.4,2.2,2.5,3.0,1.4
195,Greece, Both sexes,7.2,6.4,7.1,7.5,6.4,4.3,4.0,0.7
196,Greece, Male,14.3,12.0,11.7,12.3,10.3,6.1,6.3,1.1
197,Greece, Female,2.4,1.8,3.0,2.8,2.5,2.4,1.5,0.3
198,Grenada, Both sexes,51.6,0.0,14.3,0.0,0.0,0.0,0.0,0.0
199,Grenada, Male,0.0,0.0,29.4,0.0,0.0,0.0,0.0,0.0
200,Grenada, Female,79.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
201,Guatemala, Both sexes,7.4,2.8,4.1,3.1,3.5,3.2,4.3,3.1
202,Guatemala, Male,6.6,5.3,7.8,5.6,6.5,5.1,5.9,2.6
203,Guatemala, Female,8.0,0.8,1.1,1.0,0.9,1.5,2.6,3.6
204,Guinea, Both sexes,78.5,50.5,27.8,15.9,8.7,7.3,7.9,2.7
205,Guinea, Male,102.2,55.1,31.1,18.7,11.6,10.0,9.9,3.0
206,Guinea, Female,59.9,46.5,24.8,13.3,5.8,4.5,5.8,2.4
207,Guinea-Bissau, Both sexes,66.9,42.4,22.9,9.3,5.7,4.5,3.8,1.5
208,Guinea-Bissau, Male,87.3,46.5,24.6,11.2,7.5,6.1,5.0,1.9
209,Guinea-Bissau, Female,52.3,39.4,21.5,7.5,4.0,3.0,2.6,1.1
